4.0,9.0,3.0,11,6,5,54.5,118671904,1.53,1622.7
8.0,10.0,2.0,12,9,3,75.0,127513700,1.51,2369.3
4.0,11.0,2.0,17,10,7,58.8,154771004,1.51,1622.7
6.0,8.0,5.0,7,4,3,57.1,94068297,1.50,1825.3
7.0,10.0,3.0,8,5,3,62.5,103403270,1.47,2087.3
6.0,8.0,3.0,8,5,3,62.5,87204384,1.46,1825.3
5.0,7.0,3.0,12,7,5,58.3,125343953,1.45,1821.0
8.0,6.0,4.0,9,6,3,66.7,110959806,1.44,2545.4
4.0,10.0,2.0,17,10,7,58.8,131411154,1.43,1622.7
8.0,8.0,5.0,5,3,2,60.0,79842724,1.43,2545.4
7.0,10.0,5.0,4,2,2,50.0,67673631,1.42,2087.3
5.0,9.0,5.0,7,3,4,42.9,88156393,1.40,1821.0
8.0,6.0,5.0,9,6,3,66.7,95111483,1.38,2545.4
7.0,9.0,3.0,8,5,3,62.5,80341289,1.37,2087.3
8.0,6.0,3.0,9,6,3,66.7,91277565,1.37,2545.4
8.0,11.0,3.0,7,4,3,57.1,86305149,1.35,2545.4
6.0,10.0,5.0,7,3,4,42.9,76475464,1.29,1825.3
6.0,6.0,4.0,9,5,4,55.6,74466816,1.29,1825.3
6.0,6.0,5.0,9,5,4,55.6,74466816,1.29,1825.3
4.0,9.0,2.0,16,9,7,56.2,81024649,1.26,1622.7
8.0,10.0,3.0,7,4,3,57.1,63243168,1.25,2545.4
5.0,6.0,3.0,12,7,5,58.3,69232115,1.25,1821.0
4.0,7.0,5.0,13,6,7,46.2,76911901,1.24,1622.7
8.0,10.0,5.0,4,2,2,50.0,43204384,1.23,2545.4
5.0,11.0,3.0,10,5,5,50.0,63957265,1.23,1821.0
5.0,12.0,5.0,5,2,3,40.0,38769568,1.22,1821.0
4.0,8.0,2.0,16,9,7,56.2,57037144,1.19,1622.7
6.0,9.0,5.0,7,3,4,42.9,42706360,1.16,1825.3
8.0,9.0,3.0,7,4,3,57.1,40181187,1.16,2545.4
5.0,10.0,3.0,10,5,5,50.0,40940634,1.15,1821.0
5.0,12.0,4.0,5,2,3,40.0,19466589,1.11,1821.0
8.0,9.0,5.0,4,2,2,50.0,20363052,1.11,2545.4
7.0,6.0,4.0,9,5,4,55.6,29548627,1.10,2087.3
7.0,6.0,5.0,9,5,4,55.6,29548627,1.10,2087.3
5.0,11.0,4.0,8,3,5,37.5,24031862,1.09,1821.0
5.0,9.0,3.0,10,5,5,50.0,17924003,1.06,1821.0
4.0,6.0,5.0,13,6,7,46.2,20046649,1.06,1622.7
6.0,12.0,5.0,5,2,3,40.0,2414845,1.01,1825.3
5.0,10.0,4.0,8,3,5,37.5,1376046,1.00,1821.0
4.0,7.0,4.0,13,6,7,46.2,-669693,1.00,1622.7
7.0,9.0,5.0,7,3,4,42.9,-2313385,0.99,2087.3
4.0,8.0,4.0,11,4,7,36.4,-5896936,0.98,1622.7
5.0,8.0,3.0,10,5,5,50.0,-6999498,0.98,1821.0
4.0,8.0,3.0,12,5,7,41.7,-8289194,0.97,1622.7
4.0,8.0,5.0,11,4,7,36.4,-19962357,0.93,1622.7
5.0,9.0,4.0,8,3,5,37.5,-20946527,0.92,1821.0
6.0,12.0,4.0,5,2,3,40.0,-17636990,0.92,1825.3
4.0,6.0,4.0,13,6,7,46.2,-27523518,0.91,1622.7
7.0,12.0,5.0,5,2,3,40.0,-33497559,0.86,2087.3
6.0,11.0,4.0,5,2,3,40.0,-29355008,0.86,1825.3
6.0,10.0,4.0,8,3,5,37.5,-55760580,0.83,1825.3
7.0,12.0,4.0,5,2,3,40.0,-54050926,0.78,2087.3
8.0,8.0,4.0,6,3,3,50.0,-62954104,0.78,6128.3
4.0,12.0,5.0,10,2,8,20.0,-81527940,0.77,1622.7
6.0,9.0,4.0,8,3,5,37.5,-78240680,0.76,1825.3
7.0,11.0,4.0,5,2,3,40.0,-65768944,0.73,2087.3
7.0,10.0,4.0,8,3,5,37.5,-113738726,0.71,2087.3
8.0,12.0,5.0,5,2,3,40.0,-83961797,0.70,2545.4
8.0,11.0,5.0,5,2,3,40.0,-95679815,0.66,2545.4
7.0,9.0,4.0,8,3,5,37.5,-136218826,0.65,2087.3
8.0,12.0,4.0,5,2,3,40.0,-102474404,0.64,6128.3
8.0,11.0,4.0,5,2,3,40.0,-114192422,0.60,6128.3
8.0,10.0,4.0,8,3,5,37.5,-182715216,0.59,6128.3
8.0,9.0,4.0,8,3,5,37.5,-205195316,0.54,6128.3
4.0,12.0,4.0,11,2,9,18.2,-185929432,0.54,1622.7
